,Name,Genre,Year_of_Release,Publisher,Global_Sales,Critic_Score,User_Score
76,Resident Evil 5,Action,2009,Capcom,8.66,86.0,75.0
77,FIFA Soccer 09,Sports,2008,Electronic Arts,8.659999999999998,87.0,89.0
78,FIFA Soccer 08,Sports,2007,Electronic Arts,8.629999999999999,83.0,79.0
79,Medal of Honor,Shooter,2010,Electronic Arts,8.58,92.0,86.0
80,Halo 2,Shooter,2004,Microsoft Game Studios,8.58,95.0,82.0
81,FIFA 15,Sports,2014,Electronic Arts,8.54,82.0,57.0
82,Need for Speed: ProStreet,Racing,2007,Electronic Arts,8.529999999999998,74.0,74.0
83,Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,8.46,83.0,84.0
84,Diablo III,Role-Playing,2012,Activision,8.459999999999999,88.0,66.0
85,FIFA Soccer 10,Sports,2009,Electronic Arts,8.420000000000002,91.0,79.0
86,Wii Party,Misc,2010,Nintendo,8.38,68.0,74.0
87,LittleBigPlanet,Platform,2008,Sony Computer Entertainment,8.36,95.0,78.0
88,Fallout: New Vegas,Role-Playing,2010,Bethesda Softworks,8.33,84.0,86.0
89,Mario Party 8,Misc,2007,Nintendo,8.27,62.0,63.0
90,Madden NFL 06,Sports,2005,Electronic Arts,8.209999999999999,88.0,85.0
91,Guitar Hero: World Tour,Misc,2008,Activision,8.2,86.0,76.0
92,Final Fantasy X,Role-Playing,2001,Sony Computer Entertainment,8.05,92.0,87.0
93,Batman: Arkham Asylum,Action,2009,Eidos Interactive,8.030000000000001,92.0,89.0
94,Assassin's Creed: Unity,Action,2014,Ubisoft,8.01,72.0,49.0
95,Tony Hawk's Pro Skater 3,Sports,2001,Activision,7.970000000000001,97.0,90.0
96,Final Fantasy VIII,Role-Playing,1999,SquareSoft,7.86,90.0,86.0
97,Madden NFL 08,Sports,2007,Electronic Arts,7.859999999999999,85.0,78.0
98,The Elder Scrolls IV: Oblivion,Role-Playing,2006,Take-Two Interactive,7.73,94.0,87.0
99,Pokémon Platinum Version,Role-Playing,2008,Nintendo,7.72,83.0,85.0
100,Spider-Man 2,Action,2004,Activision,7.62,83.0,89.0
101,LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,7.6000000000000005,79.0,80.0
102,Super Mario Galaxy 2,Platform,2010,Nintendo,7.51,97.0,91.0
103,LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,7.490000000000001,83.0,81.0
104,Final Fantasy XIII,Role-Playing,2009,Square Enix,7.49,83.0,73.0
105,WWE SmackDown vs Raw 2008,Fighting,2007,THQ,7.39,74.0,78.0
106,Guitar Hero II,Misc,2006,['Activision' 'RedOctane'],7.32,92.0,85.0
107,Far Cry 3,Shooter,2012,Ubisoft,7.31,91.0,86.0
108,LEGO Star Wars II: The Original Trilogy,Action,2006,LucasArts,7.31,86.0,91.0
109,Crash Bandicoot: The Wrath of Cortex,Platform,2001,Universal Interactive,7.24,70.0,81.0
110,Just Dance,Misc,2009,Ubisoft,7.2,49.0,80.0
111,Tekken 3,Fighting,1998,Sony Computer Entertainment,7.16,96.0,91.0
112,Battlefield: Bad Company 2,Shooter,2010,Electronic Arts,7.14,88.0,86.0
113,Crash Bandicoot 3: Warped,Platform,1998,Sony Computer Entertainment,7.13,91.0,89.0
114,Street Fighter IV,Fighting,2009,Capcom,7.1,94.0,73.0
115,Mario Kart 8,Racing,2014,Nintendo,7.09,88.0,91.0
116,Spider-Man: The Movie,Action,2002,Activision,7.07,79.0,79.0
117,Super Smash Bros. Melee,Fighting,2001,Nintendo,7.07,92.0,91.0
118,Call of Duty: Infinite Warfare,Shooter,2016,Activision,7.02,78.0,34.0
119,The Simpsons Game,Action,2007,Electronic Arts,7.01,71.0,82.0
120,NBA 2K14,Sports,2013,Take-Two Interactive,6.99,87.0,65.0
121,Assassin's Creed: Brotherhood,Action,2010,Ubisoft,6.9,90.0,83.0
122,Madden NFL 2005,Sports,2004,Electronic Arts,6.8999999999999995,91.0,79.0
123,Borderlands 2,Shooter,2012,Take-Two Interactive,6.849999999999999,91.0,82.0
124,Gears of War 2,Shooter,2008,Microsoft Game Studios,6.75,93.0,77.0
125,Uncharted 3: Drake's Deception,Action,2011,Sony Computer Entertainment,6.74,92.0,83.0
126,Medal of Honor: Rising Sun,Shooter,2003,Electronic Arts,6.72,68.0,76.0
127,Battlefield 1,Shooter,2016,Electronic Arts,6.71,88.0,84.0
128,Uncharted 2: Among Thieves,Action,2009,Sony Computer Entertainment,6.66,96.0,88.0
129,Star Wars: Battlefront II,Shooter,2005,LucasArts,6.64,84.0,90.0
130,Big Brain Academy,Misc,2005,Nintendo,6.62,74.0,74.0
131,Madden NFL 09,Sports,2008,Electronic Arts,6.61,85.0,70.0
132,Tony Hawk's Underground,Sports,2003,Activision,6.47,90.0,91.0
133,Halo: Combat Evolved,Shooter,2001,Microsoft Game Studios,6.47,97.0,86.0
134,Donkey Kong Country Returns,Platform,2010,Nintendo,6.44,87.0,86.0
135,Pokémon Emerald Version,Role-Playing,2004,Nintendo,6.41,76.0,90.0
136,Kingdom Hearts,Role-Playing,2002,Sony Computer Entertainment,6.4,85.0,88.0
137,Tom Clancy's The Division,Shooter,2016,Ubisoft,6.37,80.0,70.0
138,Need for Speed Carbon,Racing,2006,Electronic Arts,6.369999999999999,78.0,84.0
139,Halo 3: ODST,Shooter,2009,Microsoft Game Studios,6.34,83.0,71.0
140,Super Mario Sunshine,Platform,2002,Nintendo,6.31,92.0,86.0
141,Far Cry 4,Shooter,2014,Ubisoft,6.3,85.0,77.0
142,World of Warcraft,Role-Playing,2004,Activision,6.29,93.0,73.0
143,Driver,Action,1999,GT Interactive,6.27,87.0,81.0
144,NBA 2K16,Sports,2015,Take-Two Interactive,6.22,87.0,67.0
145,Gears of War 3,Shooter,2011,Microsoft Game Studios,6.21,91.0,78.0
146,Watch Dogs,Action,2014,Ubisoft,6.2,80.0,64.0
147,Kinect Sports,Sports,2010,Microsoft Game Studios,6.19,73.0,74.0
148,Gears of War,Shooter,2006,Microsoft Game Studios,6.109999999999999,94.0,83.0
149,Michael Jackson: The Experience,Misc,2010,Ubisoft,6.09,66.0,84.0
150,The Simpsons: Road Rage,Racing,2001,Electronic Arts,6.09,67.0,83.0
151,Carnival Games,Misc,2007,Take-Two Interactive,6.08,56.0,60.0
152,Namco Museum,Misc,2001,Namco Bandai Games,6.0600000000000005,79.0,73.0
153,Metal Gear Solid 2: Sons of Liberty,Action,2001,Konami Digital Entertainment,6.05,96.0,87.0
154,Metal Gear Solid,Action,1998,Konami Digital Entertainment,6.03,94.0,94.0
155,Grand Theft Auto: Vice City Stories,Action,2006,Take-Two Interactive,6.0,86.0,80.0
156,The Witcher 3: Wild Hunt,Role-Playing,2015,Namco Bandai Games,6.0,93.0,93.0
157,Tom Clancy's Splinter Cell,Action,2002,Ubisoft,6.0,93.0,87.0
158,Metal Gear Solid 4: Guns of the Patriots,Action,2008,Konami Digital Entertainment,5.99,94.0,87.0
159,Madden NFL 13,Sports,2012,Electronic Arts,5.96,83.0,73.0
160,Final Fantasy XII,Role-Playing,2006,Square Enix,5.95,92.0,76.0
161,Madden NFL 10,Sports,2009,Electronic Arts,5.92,85.0,72.0
162,The Lord of the Rings: The Two Towers,Action,2002,Electronic Arts,5.91,82.0,87.0
163,Harry Potter and the Sorcerer's Stone,Action,2001,Electronic Arts,5.91,65.0,83.0
164,Resident Evil 2,Action,1998,['Capcom' 'Virgin Interactive'],5.88,89.0,92.0
165,L.A. Noire,Adventure,2011,Take-Two Interactive,5.87,89.0,78.0
166,The Last of Us,Action,2013,Sony Computer Entertainment Europe,5.87,95.0,91.0
167,Tony Hawk's Pro Skater 2,Sports,2000,Activision,5.859999999999999,98.0,77.0
168,Madden NFL 25,Sports,2013,Electronic Arts,5.8100000000000005,80.0,59.0
169,Need for Speed: Hot Pursuit,Racing,2010,Electronic Arts,5.8100000000000005,89.0,72.0
170,LEGO Star Wars III: The Clone Wars,Action,2011,LucasArts,5.78,76.0,78.0
171,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,2009,Nintendo,5.78,87.0,88.0
172,Tony Hawk's Pro Skater 4,Sports,2002,Activision,5.75,94.0,88.0
173,Tekken 2,Fighting,1996,Sony Computer Entertainment,5.74,89.0,89.0
174,Borderlands,Shooter,2009,Take-Two Interactive,5.709999999999999,84.0,82.0
175,Cars,Racing,2006,THQ,5.6899999999999995,71.0,84.0
