,Name,Genre,Year_of_Release,Publisher,Global_Sales,Critic_Score,User_Score
976,Sega Rally Revo,Racing,2007,Sega,1.34,77.0,76.0
977,Dragon Ball Z: Burst Limit,Fighting,2008,Atari,1.3399999999999999,72.0,76.0
978,Metroid Prime 2: Echoes,Shooter,2004,Nintendo,1.33,92.0,88.0
979,SoulCalibur V,Fighting,2012,Namco Bandai Games,1.33,81.0,67.0
980,NBA Jam,Sports,2010,Electronic Arts,1.3200000000000003,79.0,91.0
981,World of Warcraft: Wrath of the Lich King,Role-Playing,2008,Activision,1.32,91.0,75.0
982,Your Shape: Fitness Evolved,Sports,2010,Ubisoft,1.32,73.0,75.0
983,LEGO The Hobbit,Action,2014,Warner Bros. Interactive Entertainment,1.32,72.0,87.0
984,Assassin's Creed III: Liberation,Action,2012,Ubisoft,1.32,70.0,72.0
985,Need for Speed Underground Rivals,Racing,2005,Electronic Arts,1.32,74.0,85.0
986,NHL 11,Sports,2010,Electronic Arts,1.3199999999999998,88.0,77.0
987,SpongeBob SquarePants: Creature from the Krusty Krab,Platform,2006,THQ,1.31,74.0,77.0
988,Borderlands: The Handsome Collection,Shooter,2015,Take-Two Interactive,1.31,82.0,78.0
989,Madagascar,Platform,2005,Activision,1.31,69.0,74.0
990,MLB 09: The Show,Sports,2009,Sony Computer Entertainment,1.31,90.0,81.0
991,NASCAR Thunder 2004,Racing,2003,Electronic Arts,1.31,88.0,91.0
992,The BIGS,Sports,2007,Take-Two Interactive,1.3099999999999998,79.0,84.0
993,Yoshi's Woolly World,Platform,2015,Nintendo,1.3,78.0,85.0
994,ESPN NHL 2K5,Sports,2004,Global Star,1.3,88.0,85.0
995,SingStar '80s,Misc,2005,Sony Computer Entertainment,1.3,78.0,83.0
996,NHL 13,Sports,2012,Electronic Arts,1.3,84.0,68.0
997,Pro Evolution Soccer 2014,Action,2013,Konami Digital Entertainment,1.29,80.0,44.0
998,Namco Museum DS,Misc,2007,Atari,1.29,67.0,59.0
999,Transformers,Shooter,2004,Atari,1.29,75.0,86.0
1000,Mortal Kombat: Armageddon,Fighting,2006,Midway Games,1.29,75.0,85.0
1001,Pokemon Ranger: Guardian Signs,Role-Playing,2010,Nintendo,1.29,68.0,82.0
1002,Pirates of the Caribbean: The Curse of the Black Pearl,Platform,2003,TDK Mediactive,1.29,49.0,62.0
1003,MLB 06: The Show,Sports,2006,Sony Computer Entertainment,1.29,83.0,89.0
1004,NCAA Football 09,Sports,2008,Electronic Arts,1.29,83.0,77.0
1005,Dragon Ball: Raging Blast,Fighting,2009,Namco Bandai Games,1.28,57.0,75.0
1006,Goldeneye 007: Reloaded,Shooter,2011,Activision,1.28,72.0,63.0
1007,Silent Hill 2,Action,2001,Konami Digital Entertainment,1.28,89.0,89.0
1008,Champions of Norrath,Role-Playing,2004,Sony Online Entertainment,1.28,85.0,84.0
1009,NHL 12,Sports,2011,Electronic Arts,1.2799999999999998,86.0,75.0
1010,Jillian Michaels' Fitness Ultimatum 2009,Sports,2008,Deep Silver,1.27,30.0,20.0
1011,Pokemon Mystery Dungeon: Gates to Infinity,Role-Playing,2012,Nintendo,1.27,59.0,63.0
1012,.hack//Infection Part 1,Role-Playing,2002,Atari,1.27,75.0,85.0
1013,Battle Arena Toshinden,Fighting,1994,Sony Computer Entertainment,1.27,69.0,63.0
1014,Castlevania: Symphony of the Night,Platform,1997,Konami Digital Entertainment,1.27,93.0,94.0
1015,NHL 2003,Sports,2002,Electronic Arts,1.27,80.0,79.0
1016,Warriors Orochi,Action,2007,Tecmo Koei,1.27,62.0,82.0
1017,The Sims 2: Nightlife,Simulation,2005,Electronic Arts,1.27,76.0,66.0
1018,Kid Icarus: Uprising,Action,2012,Nintendo,1.27,83.0,87.0
1019,Sonic Adventure DX: Director's Cut,Platform,2003,Sega,1.27,57.0,79.0
1020,Valkyria Chronicles,Role-Playing,2008,Sega,1.27,86.0,86.0
1021,Dynasty Warriors 6,Action,2007,Tecmo Koei,1.26,60.0,74.0
1022,MLB 14: The Show,Sports,2014,Sony Computer Entertainment America,1.26,83.0,77.0
1023,Tamagotchi Connection: Corner Shop,Simulation,2005,Atari,1.26,59.0,77.0
1024,Football Manager 2011,Sports,2010,Sega,1.26,85.0,84.0
1025,SpongeBob SquarePants: The Yellow Avenger,Action,2006,THQ,1.26,67.0,76.0
1026,Devil May Cry HD Collection,Action,2012,Capcom,1.25,77.0,88.0
1027,Pokemon XD: Gale of Darkness,Role-Playing,2005,Nintendo,1.25,64.0,83.0
1028,LEGO Battles,Strategy,2009,Warner Bros. Interactive Entertainment,1.25,65.0,89.0
1029,RollerCoaster Tycoon 2,Strategy,2002,Atari,1.25,74.0,85.0
1030,Pokemon Super Mystery Dungeon,Role-Playing,2015,Nintendo,1.25,69.0,88.0
1031,IL-2 Sturmovik: Birds of Prey,Simulation,2009,505 Games,1.25,81.0,84.0
1032,Need for Speed: Porsche Unleashed,Racing,1999,['Electronic Arts' 'Zoo Digital Publishing'],1.25,78.0,85.0
1033,Lara Croft Tomb Raider: The Angel of Darkness,Action,2003,Eidos Interactive,1.25,52.0,62.0
1034,Just Dance 2016,Misc,2015,Ubisoft,1.25,73.0,69.0
1035,LittleBigPlanet PS Vita,Platform,2012,Sony Computer Entertainment,1.25,88.0,86.0
1036,Star Wars Battlefront: Elite Squadron,Shooter,2009,LucasArts,1.25,63.0,80.0
1037,NBA Live 2001,Sports,2000,Electronic Arts,1.25,86.0,80.0
1038,NHL 2004,Sports,2003,Electronic Arts,1.25,85.0,84.0
1039,SOCOM: U.S. Navy SEALs Confrontation,Shooter,2008,Sony Computer Entertainment,1.25,63.0,69.0
1040,Spider-Man: Web of Shadows,Action,2008,Activision,1.2400000000000002,77.0,86.0
1041,Ridge Racer V,Action,2000,Namco Bandai Games,1.24,78.0,77.0
1042,Ratchet: Deadlocked,Shooter,2005,Sony Computer Entertainment,1.24,81.0,89.0
1043,Winter Sports: The Ultimate Challenge,Sports,2007,RTL,1.24,52.0,68.0
1044,MVP Baseball 2003,Sports,2003,Electronic Arts,1.24,82.0,90.0
1045,Wolfenstein,Shooter,2009,Activision,1.24,74.0,75.0
1046,Oddworld: Abe's Oddysee,Platform,1997,GT Interactive,1.24,85.0,90.0
1047,Top Spin 4,Sports,2011,Take-Two Interactive,1.2399999999999998,84.0,82.0
1048,Burnout 2: Point of Impact,Racing,2002,Acclaim Entertainment,1.2399999999999998,89.0,85.0
1049,DmC: Devil May Cry,Action,2013,Capcom,1.23,86.0,53.0
1050,Ninja Gaiden,Action,2004,Microsoft Game Studios,1.23,91.0,88.0
1051,Darksiders,Action,2010,THQ,1.23,83.0,79.0
1052,Ace Combat: Assault Horizon,Action,2011,Namco Bandai Games,1.23,78.0,67.0
1053,NHL 10,Sports,2009,Electronic Arts,1.23,88.0,84.0
1054,Tom Clancy's Splinter Cell: Double Agent,Action,2006,Ubisoft,1.23,85.0,81.0
1055,Okami,Action,2006,Capcom,1.23,93.0,93.0
1056,Cars: Mater-National Championship,Racing,2007,THQ,1.23,69.0,78.0
1057,NBA Live 09,Sports,2008,Electronic Arts,1.23,77.0,78.0
1058,Hyrule Warriors,Action,2014,Nintendo,1.23,76.0,83.0
1059,Frogger: The Great Quest,Platform,2001,Konami Digital Entertainment,1.23,32.0,46.0
1060,Donkey Kong Country 2,Platform,2004,Nintendo,1.23,80.0,91.0
1061,Spider-Man: Shattered Dimensions,Action,2010,Activision,1.23,76.0,77.0
1062,NBA Live 10,Sports,2009,Electronic Arts,1.23,81.0,77.0
1063,Assassin's Creed: Bloodlines,Action,2009,Ubisoft,1.23,63.0,72.0
1064,Avatar: The Last Airbender,Adventure,2006,THQ,1.2200000000000002,64.0,65.0
1065,ESPN College Hoops 2K5,Sports,2004,Sega,1.22,86.0,83.0
1066,Mario Power Tennis,Sports,2004,Nintendo,1.22,80.0,85.0
1067,Diddy Kong Racing DS,Racing,2007,Nintendo,1.22,63.0,75.0
1068,Golden Sun: The Lost Age,Role-Playing,2002,Nintendo,1.22,86.0,95.0
1069,Tales of Xillia,Role-Playing,2011,Namco Bandai Games,1.22,78.0,82.0
1070,Sly Cooper and the Thievius Raccoonus,Platform,2002,Sony Computer Entertainment,1.21,86.0,86.0
1071,Fuzion Frenzy,Misc,2001,Microsoft Game Studios,1.21,70.0,69.0
1072,Need for Speed: Nitro,Racing,2009,Electronic Arts,1.21,70.0,74.0
1073,Boom Blox,Puzzle,2008,Electronic Arts,1.21,85.0,86.0
1074,Epic Mickey 2: The Power of Two,Action,2012,Disney Interactive Studios,1.21,59.0,56.0
1075,Final Fantasy IV,Simulation,2007,Square Enix,1.21,85.0,77.0
1076,Sacred 2: Fallen Angel,Role-Playing,2009,Deep Silver,1.21,71.0,73.0
1077,Dino Crisis 2,Action,2000,Virgin Interactive,1.21,86.0,90.0
1078,Super Street Fighter IV: 3D Edition,Fighting,2011,Capcom,1.21,85.0,81.0
1079,Alice: Madness Returns,Adventure,2011,Electronic Arts,1.2000000000000002,75.0,84.0
1080,Unreal Tournament III,Shooter,2007,Midway Games,1.2000000000000002,86.0,80.0
1081,Pikmin 2,Strategy,2004,Nintendo,1.2,90.0,91.0
1082,"Warhammer 40,000: Space Marine",Shooter,2011,THQ,1.2,76.0,78.0
1083,ATV Offroad Fury 3,Racing,2004,SouthPeak Games,1.2,78.0,84.0
1084,Two Worlds II,Role-Playing,2011,Unknown,1.2,76.0,70.0
1085,Mario vs. Donkey Kong 2: March of the Minis,Puzzle,2006,Nintendo,1.19,76.0,79.0
1086,Captain Toad: Treasure Tracker,Puzzle,2014,Nintendo,1.19,81.0,86.0
1087,James Bond 007: Blood Stone,Shooter,2010,Activision,1.19,65.0,74.0
1088,Tekken Tag Tournament 2,Fighting,2012,Namco Bandai Games,1.19,83.0,82.0
1089,Spec Ops: The Line,Shooter,2012,Take-Two Interactive,1.19,77.0,82.0
1090,Lemony Snicket's A Series of Unfortunate Events,Platform,2004,Activision,1.1800000000000002,72.0,80.0
1091,Tom Clancy's HAWX,Action,2009,Ubisoft,1.1800000000000002,74.0,81.0
1092,Knockout Kings 2002,Sports,2002,Electronic Arts,1.1800000000000002,78.0,81.0
1093,Shenmue,Adventure,1999,Sega,1.18,88.0,94.0
1094,All-Star Baseball 2003,Sports,2002,Acclaim Entertainment,1.18,83.0,84.0
1095,Shinobi,Platform,2002,['Sega' 'Sony Computer Entertainment'],1.18,71.0,79.0
1096,One Piece: Pirate Warriors,Action,2012,Namco Bandai Games,1.18,64.0,65.0
1097,Green Day: Rock Band,Misc,2010,MTV Games,1.18,76.0,88.0
1098,Metal Gear Solid: Portable Ops,Action,2006,Konami Digital Entertainment,1.18,87.0,82.0
1099,Street Fighter Alpha 3,Fighting,1998,['Capcom' 'Virgin Interactive'],1.18,93.0,85.0
1100,X2: Wolverine's Revenge,Platform,2003,Activision,1.17,72.0,72.0
1101,Cabela's Dangerous Hunts,Sports,2003,Zoo Digital Publishing,1.17,57.0,84.0
1102,Spore,Strategy,2008,Electronic Arts,1.17,84.0,53.0
1103,Burnout,Racing,2001,Acclaim Entertainment,1.17,79.0,79.0
1104,Deadpool,Action,2013,Activision,1.17,62.0,74.0
1105,PokéPark Wii: Pikachu's Adventure,Adventure,2009,Nintendo,1.17,62.0,72.0
1106,Naruto Shippuden: Ultimate Ninja Storm Generations,Fighting,2012,Namco Bandai Games,1.17,74.0,72.0
1107,Mario vs. Donkey Kong,Puzzle,2004,Nintendo,1.17,81.0,80.0
1108,Over the Hedge,Platform,2006,Activision,1.1600000000000001,71.0,93.0
1109,Thrillville: Off the Rails,Strategy,2007,LucasArts,1.1600000000000001,73.0,62.0
1110,Tom Clancy's Ghost Recon: Jungle Storm,Shooter,2004,Ubisoft,1.16,70.0,63.0
1111,Bushido Blade,Fighting,1997,Sony Computer Entertainment,1.16,83.0,79.0
1112,Final Fantasy Tactics: The War of the Lions,Role-Playing,2007,Square Enix,1.16,88.0,80.0
1113,Your Shape: Fitness Evolved 2012,Sports,2011,Ubisoft,1.16,77.0,76.0
1114,Donkey Konga,Misc,2003,Nintendo,1.15,76.0,83.0
1115,Football Manager 2013,Sports,2012,Sega,1.15,86.0,67.0
1116,Worldwide Soccer Manager 2009,Simulation,2008,Sega,1.15,83.0,81.0
1117,Dragon Ball Z: Ultimate Tenkaichi,Fighting,2011,Namco Bandai Games,1.15,58.0,58.0
1118,Lego Star Wars: The Force Awakens,Action,2016,Warner Bros. Interactive Entertainment,1.15,78.0,80.0
1119,Sonic Rush Adventure,Platform,2007,Sega,1.15,78.0,82.0
1120,Dynasty Warriors 7,Action,2011,Tecmo Koei,1.15,58.0,80.0
1121,Mega Man Anniversary Collection,Platform,2004,Capcom,1.1400000000000001,81.0,92.0
1122,Lollipop Chainsaw,Action,2012,Warner Bros. Interactive Entertainment,1.1400000000000001,70.0,71.0
1123,Virtua Tennis 3,Sports,2007,Sega,1.1400000000000001,80.0,79.0
1124,The Walking Dead: Survival Instinct,Shooter,2013,Activision,1.1400000000000001,34.0,40.0
1125,Major League Baseball 2K6,Sports,2006,Spike,1.1400000000000001,71.0,57.0
1126,Hitman: Contracts,Shooter,2004,Eidos Interactive,1.1400000000000001,80.0,88.0
1127,Dance Dance Revolution Extreme 2,Simulation,2005,Konami Digital Entertainment,1.14,76.0,90.0
1128,Hot Shots Golf: Out of Bounds,Sports,2007,Sony Computer Entertainment,1.14,81.0,88.0
1129,Ninja Gaiden Sigma,Action,2007,Eidos Interactive,1.14,88.0,75.0
1130,Brave Fencer Musashi,Role-Playing,1998,SquareSoft,1.14,81.0,85.0
1131,Shadow of the Colossus,Action,2005,Sony Computer Entertainment,1.14,91.0,91.0
1132,Mobile Suit Gundam: Federation vs. Zeon,Simulation,2001,Atari,1.14,73.0,88.0
1133,Sunset Overdrive,Shooter,2014,Microsoft Game Studios,1.14,81.0,77.0
1134,Pokemon Rumble Blast,Action,2011,Nintendo,1.14,56.0,71.0
1135,Skylanders: Trap Team,Action,2014,Activision,1.14,86.0,71.0
1136,Tenchu: Wrath of Heaven,Action,2003,Activision,1.14,79.0,84.0
1137,Fantasy Life,Role-Playing,2012,Nintendo,1.13,73.0,86.0
1138,SingStar,Misc,2007,Sony Computer Entertainment,1.13,82.0,59.0
1139,Tom Clancy's Rainbow Six 3: Black Arrow,Shooter,2004,Ubisoft,1.13,84.0,86.0
1140,Defiance,Shooter,2013,Trion Worlds,1.13,64.0,72.0
1141,MechAssault,Simulation,2002,Microsoft Game Studios,1.13,87.0,80.0
1142,Yakuza 3,Action,2009,Sega,1.12,79.0,81.0
1143,The Legend of Zelda: Tri Force Heroes,Action,2015,Nintendo,1.12,73.0,76.0
1144,Persona 4: Golden,Role-Playing,2012,Atlus,1.12,93.0,92.0
1145,Brothers In Arms: Road to Hill 30,Shooter,2005,Ubisoft,1.12,88.0,80.0
1146,Supercar Street Challenge,Racing,2001,Activision,1.12,57.0,76.0
1147,SOCOM: U.S. Navy SEALs Fireteam Bravo,Shooter,2005,Sony Computer Entertainment,1.12,82.0,86.0
1148,Rabbids Go Home,Platform,2009,Ubisoft,1.12,78.0,83.0
1149,Worldwide Soccer Manager 2008,Sports,2007,Russel,1.12,86.0,80.0
1150,Crackdown 2,Shooter,2010,Microsoft Game Studios,1.12,70.0,60.0
1151,Stranglehold,Shooter,2007,Midway Games,1.1199999999999999,77.0,79.0
1152,Guitar Hero Encore: Rocks The 80s,Misc,2007,RedOctane,1.11,69.0,63.0
1153,Pikmin 3,Strategy,2013,Nintendo,1.11,87.0,87.0
1154,Big Mutha Truckers,Racing,2002,Empire Interactive,1.11,63.0,82.0
1155,MLB 12: The Show,Sports,2012,Sony Computer Entertainment,1.11,87.0,78.0
1156,Counter-Strike,Shooter,2003,Microsoft Game Studios,1.11,74.0,76.0
1157,The Chronicles of Narnia: Prince Caspian,Action,2008,Disney Interactive Studios,1.1099999999999999,67.0,75.0
1158,NHL 16,Sports,2015,Electronic Arts,1.1099999999999999,80.0,60.0
1159,Up,Action,2009,THQ,1.1,65.0,80.0
1160,LEGO City Undercover,Platform,2013,Nintendo,1.1,80.0,82.0
1161,The Darkness,Shooter,2007,Take-Two Interactive,1.1,82.0,81.0
1162,Star Ocean: The Second Story,Role-Playing,1998,Sony Computer Entertainment,1.1,80.0,85.0
1163,Tales of Symphonia,Role-Playing,2003,Nintendo,1.1,86.0,85.0
1164,Lost: Via Domus,Action,2008,Ubisoft,1.1,55.0,69.0
1165,NERF N-Strike,Shooter,2008,Electronic Arts,1.09,66.0,44.0
1166,Sonic and the Black Knight,Platform,2009,Sega,1.09,54.0,69.0
1167,Dragon Ball Z: The Legacy of Goku II,Role-Playing,2003,Atari,1.09,75.0,89.0
1168,Yakuza 2,Adventure,2006,Sega,1.09,77.0,81.0
1169,The Godfather,Action,2006,Electronic Arts,1.09,75.0,83.0
1170,Sonic Riders: Zero Gravity,Racing,2008,Sega,1.09,56.0,83.0
1171,NFL 2K1,Sports,2000,Sega,1.09,97.0,60.0
1172,Batman Begins,Action,2005,Electronic Arts,1.09,66.0,73.0
1173,MVP 06 NCAA Baseball,Sports,2006,Electronic Arts,1.09,76.0,90.0
1174,Untold Legends: Brotherhood of the Blade,Role-Playing,2005,Activision,1.09,68.0,76.0
1175,Sonic Free Riders,Racing,2010,Sega,1.09,47.0,21.0
1176,Enslaved: Odyssey to the West,Action,2010,Namco Bandai Games,1.09,82.0,78.0
1177,The Lord of the Rings: The Third Age,Role-Playing,2004,Electronic Arts,1.0899999999999999,74.0,85.0
1178,Dragon Ball Z: Taiketsu,Fighting,2003,Atari,1.08,40.0,61.0
1179,Skate,Sports,2007,Electronic Arts,1.08,86.0,84.0
1180,Virtua Fighter 5,Fighting,2007,Sega,1.08,85.0,74.0
1181,Star Fox: Assault,Shooter,2005,Nintendo,1.08,67.0,81.0
1182,MySims Racing,Racing,2009,Electronic Arts,1.08,68.0,74.0
1183,Virtua Tennis 2009,Sports,2009,Sega,1.08,73.0,77.0
1184,NHL 14,Sports,2013,Electronic Arts,1.08,81.0,60.0
1185,Empire: Total War,Strategy,2009,Sega,1.08,90.0,69.0
1186,Forza Horizon 3,Racing,2016,Microsoft Game Studios,1.08,91.0,74.0
1187,Namco Museum Battle Collection,Misc,2005,Sony Computer Entertainment,1.08,73.0,72.0
1188,Harry Potter and the Deathly Hallows - Part 2,Action,2011,Electronic Arts,1.08,47.0,66.0
1189,The Warriors,Action,2005,Take-Two Interactive,1.08,85.0,85.0
1190,Dragon Ball Z: Budokai Tenkaichi 2,Fighting,2006,Atari,1.07,73.0,86.0
1191,Naruto: Ultimate Ninja Storm,Fighting,2008,Namco Bandai Games,1.07,75.0,86.0
1192,TMNT,Action,2007,Ubisoft,1.07,60.0,63.0
1193,World Tour Soccer,Sports,2005,Sony Computer Entertainment,1.07,70.0,56.0
1194,Crash Tag Team Racing,Racing,2005,Vivendi Games,1.07,69.0,78.0
1195,Doom 3 BFG Edition,Shooter,2012,Bethesda Softworks,1.07,67.0,65.0
1196,Top Gun: Combat Zones,Simulation,2001,Titus,1.07,63.0,71.0
1197,Jak and Daxter: The Lost Frontier,Platform,2009,Sony Computer Entertainment,1.07,72.0,63.0
1198,SoulCalibur III,Fighting,2005,Namco Bandai Games,1.07,86.0,84.0
1199,Spyro: A Hero's Tail,Platform,2004,Vivendi Games,1.0699999999999998,64.0,91.0
1200,F.E.A.R. 2: Project Origin,Shooter,2009,Warner Bros. Interactive Entertainment,1.06,79.0,80.0
1201,Resonance of Fate,Role-Playing,2010,Sega,1.06,74.0,80.0
1202,Diablo II: Lord of Destruction,Role-Playing,2001,Vivendi Games,1.06,87.0,91.0
1203,Spore Creatures,Simulation,2008,Electronic Arts,1.06,65.0,65.0
1204,Hitman: Blood Money,Action,2006,Eidos Interactive,1.06,83.0,91.0
1205,Freekstyle,Racing,2002,Electronic Arts,1.06,81.0,73.0
1206,Endless Ocean,Adventure,2007,Nintendo,1.06,72.0,81.0
1207,Farming Simulator 17,Simulation,2016,Focus Home Interactive,1.06,69.0,87.0
1208,Seek and Destroy,Racing,2002,Play It,1.06,63.0,88.0
1209,SSX On Tour,Sports,2005,Electronic Arts,1.06,81.0,81.0
1210,Warhawk,Simulation,2007,Sony Computer Entertainment,1.06,84.0,84.0
1211,Payday 2,Shooter,2013,505 Games,1.05,79.0,63.0
1212,Forza Motorsport,Racing,2005,Microsoft Game Studios,1.05,92.0,76.0
1213,F.E.A.R. 3,Shooter,2011,Warner Bros. Interactive Entertainment,1.05,75.0,71.0
1214,The Saboteur,Action,2009,Electronic Arts,1.05,76.0,82.0
1215,Angry Birds Trilogy,Action,2012,Activision,1.05,66.0,46.0
1216,Resident Evil: The Darkside Chronicles,Action,2009,Capcom,1.05,75.0,80.0
1217,Dave Mirra Freestyle BMX,Sports,2000,Acclaim Entertainment,1.05,82.0,84.0
1218,Tiger Woods PGA Tour 13,Sports,2012,Electronic Arts,1.05,77.0,57.0
1219,Medal of Honor: Underground,Shooter,2000,['Electronic Arts' 'Zoo Digital Publishing'],1.05,86.0,90.0
1220,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,Shooter,2006,Sony Computer Entertainment,1.05,81.0,90.0
1221,F-Zero: Maximum Velocity,Racing,2001,Nintendo,1.04,86.0,85.0
1222,NHL Hitz 20-02,Sports,2001,Midway Games,1.04,79.0,87.0
1223,Dance Dance Revolution SuperNOVA,Simulation,2006,Konami Digital Entertainment,1.04,73.0,87.0
1224,Naruto: Clash of Ninja 2,Fighting,2003,Nintendo,1.04,74.0,89.0
1225,Major League Baseball 2K9,Sports,2009,Spike,1.04,64.0,53.0
1226,R.U.S.E.,Strategy,2010,Ubisoft,1.04,78.0,81.0
1227,Guinness World Records: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,1.03,67.0,70.0
1228,2014 FIFA World Cup Brazil,Sports,2014,Electronic Arts,1.03,74.0,44.0
1229,Skylanders: SuperChargers,Action,2015,Activision,1.03,87.0,56.0
1230,MySims Agents,Adventure,2009,Electronic Arts,1.03,78.0,86.0
1231,WipEout Pure,Racing,2005,Sony Computer Entertainment,1.03,88.0,79.0
1232,NCAA March Madness 2004,Sports,2003,Electronic Arts,1.03,82.0,88.0
1233,Super Princess Peach,Platform,2005,Nintendo,1.03,75.0,76.0
1234,Sniper Elite 3,Shooter,2014,505 Games,1.03,67.0,71.0
1235,Full Spectrum Warrior,Strategy,2004,THQ,1.03,84.0,87.0
1236,Vanquish,Shooter,2010,Sega,1.03,84.0,84.0
1237,The Legend of Zelda: Twilight Princess HD,Action,2016,Nintendo,1.03,86.0,84.0
1238,Condemned 2: Bloodshot,Action,2008,Sega,1.02,82.0,84.0
1239,Plants vs. Zombies: Garden Warfare 2,Shooter,2016,Electronic Arts,1.02,82.0,81.0
1240,Dance on Broadway,Misc,2010,Ubisoft,1.02,48.0,33.0
1241,Dynasty Warriors: Gundam 2,Action,2008,Namco Bandai Games,1.02,54.0,70.0
1242,Burnout Legends,Racing,2005,Electronic Arts,1.02,86.0,84.0
1243,Pokemon Conquest,Role-Playing,2012,Nintendo,1.02,80.0,82.0
1244,NHL 15,Sports,2014,Electronic Arts,1.01,60.0,36.0
1245,MX vs. ATV: Alive,Racing,2011,THQ,1.01,63.0,72.0
1246,Monster Rancher,Simulation,1997,Tecmo Koei,1.01,86.0,83.0
1247,Naruto: Clash of Ninja Revolution,Fighting,2007,Tomy Corporation,1.01,74.0,80.0
1248,Rocky,Fighting,2002,Rage Software,1.01,74.0,84.0
1249,Catherine,Adventure,2011,Deep Silver,1.01,82.0,81.0
1250,Ninja Gaiden II,Action,2008,Tecmo Koei,1.01,81.0,80.0
1251,Pirates of the Caribbean: Dead Man's Chest,Adventure,2006,Disney Interactive Studios,1.01,70.0,86.0
1252,Pokken Tournament,Fighting,2016,Namco Bandai Games,1.01,76.0,80.0
1253,Ace Combat 6: Fires of Liberation,Simulation,2007,Atari,1.01,80.0,79.0
1254,ZombiU,Action,2012,Ubisoft,1.01,77.0,77.0
1255,Fantastic 4,Action,2005,Activision,1.01,64.0,78.0
1256,The Legend of Spyro: The Eternal Night,Platform,2007,Vivendi Games,1.0,60.0,64.0
1257,God of War: Ghost of Sparta,Action,2010,Sony Computer Entertainment,1.0,86.0,84.0
1258,X-Men: The Official Game,Action,2006,Activision,1.0,55.0,93.0
1259,Ford Racing 2,Racing,2003,Empire Interactive,1.0,51.0,80.0
1260,Mortal Kombat: Shaolin Monks,Action,2005,Midway Games,1.0,78.0,86.0
1261,Bolt,Adventure,2008,Disney Interactive Studios,1.0,59.0,71.0
1262,Dynasty Warriors 3: Xtreme Legends,Action,2002,Tecmo Koei,1.0,72.0,93.0
1263,NERF N-Strike Elite,Shooter,2009,Electronic Arts,1.0,67.0,45.0
1264,Haze,Shooter,2008,Ubisoft,0.99,55.0,65.0
1265,The Bouncer,Action,2000,Sony Computer Entertainment,0.99,66.0,80.0
1266,Oddworld: Abe's Exoddus,Platform,1998,GT Interactive,0.99,88.0,91.0
1267,Ace Combat X: Skies of Deception,Simulation,2006,Namco Bandai Games,0.99,75.0,83.0
1268,Apollo Justice: Ace Attorney,Adventure,2007,Capcom,0.99,78.0,81.0
1269,Kirby: Mass Attack,Platform,2011,Nintendo,0.99,83.0,86.0
1270,NFL Fever 2002,Sports,2000,Microsoft Game Studios,0.99,79.0,85.0
1271,EyePet,Simulation,2009,Sony Computer Entertainment,0.99,70.0,82.0
1272,Spider-Man: Friend or Foe,Action,2007,Activision,0.9899999999999999,62.0,83.0
1273,NHL 07,Sports,2006,Electronic Arts,0.9800000000000001,79.0,77.0
1274,Lost Planet 2,Shooter,2010,Capcom,0.98,68.0,69.0
1275,Mario Party Advance,Misc,2005,Nintendo,0.98,54.0,54.0
1276,Rampage: Total Destruction,Action,2006,Midway Games,0.98,57.0,70.0
1277,Scribblenauts: Unlimited,Action,2012,Warner Bros. Interactive Entertainment,0.98,73.0,74.0
1278,Zoo Tycoon DS,Strategy,2005,THQ,0.98,44.0,66.0
1279,Tales of Graces f,Role-Playing,2010,Namco Bandai Games,0.98,77.0,82.0
1280,Iron Man 2,Action,2010,Sega,0.98,41.0,59.0
1281,Dishonored 2,Action,2016,Bethesda Softworks,0.98,88.0,77.0
1282,Midnight Club: LA Remix,Racing,2008,Take-Two Interactive,0.98,79.0,87.0
1283,Mafia,Action,2004,Take-Two Interactive,0.97,88.0,91.0
1284,Shaun White Snowboarding,Sports,2008,Ubisoft,0.97,70.0,75.0
1285,Major League Baseball 2K7,Sports,2007,Spike,0.97,79.0,71.0
1286,Dynasty Warriors: Strikeforce,Action,2009,Tecmo Koei,0.97,65.0,73.0
1287,Fire Emblem,Strategy,2003,Nintendo,0.97,88.0,92.0
1288,F1 2015,Racing,2015,Codemasters,0.9600000000000001,65.0,63.0
1289,FIFA Soccer 2002,Sports,2001,Electronic Arts,0.9600000000000001,82.0,80.0
1290,Metro: Last Light,Action,2013,Deep Silver,0.96,82.0,86.0
1291,Dead or Alive 5,Fighting,2012,['Tecmo Koei' 'Ubisoft Annecy'],0.96,76.0,79.0
1292,Dark Cloud 2,Role-Playing,2002,Sony Computer Entertainment,0.96,87.0,91.0
1293,Street Fighter V,Fighting,2016,Capcom,0.96,77.0,34.0
1294,de Blob,Platform,2008,THQ,0.96,82.0,86.0
1295,UFC Personal Trainer: The Ultimate Fitness System,Sports,2011,THQ,0.96,70.0,65.0
1296,Pro Evolution Soccer 2015,Sports,2014,Konami Digital Entertainment,0.95,82.0,73.0
1297,Gangs of London,Adventure,2006,Sony Computer Entertainment,0.95,52.0,67.0
1298,Dark Sector,Shooter,2008,D3Publisher,0.95,72.0,76.0
1299,Kessen,Strategy,2000,Electronic Arts,0.95,75.0,84.0
1300,PilotWings Resort,Simulation,2011,Nintendo,0.95,71.0,74.0
